Name,L*,a*,b*,C*,h°,ΔE*ab,400 nm,410 nm,420 nm,430 nm,440 nm,450 nm,460 nm,470 nm,480 nm,490 nm,500 nm,510 nm,520 nm,530 nm,540 nm,550 nm,560 nm,570 nm,580 nm,590 nm,600 nm,610 nm,620 nm,630 nm,640 nm,650 nm,660 nm,670 nm,680 nm,690 nm,700 nm,Weight,Unnamed: 39,Unnamed: 40,Unnamed: 41,mixing weight
In-GC-021-T-SF-2#0528-A2-28T-1,53.81,-14.16,17.66,22.64,128.73,12.99,9.91,9.49,10.57,13.09,13.47,12.45,11.75,13.38,17.18,20.97,23.35,24.64,25.11,24.89,24.36,23.64,23.27,22.82,22.48,21.83,20.87,19.33,17.41,15.16,12.77,10.35,8.43,7.33,7.27,7.38,7.81,78.5,,,,78.5
In-RO-021-T-SF-1#0421-A1-21T-1,39.37,16.56,10.98,19.87,33.55,7.95,15.56,10.52,8.73,7.77,7.34,7.3,7.08,7.12,7.04,7.18,7.43,7.74,8.09,8.5,8.79,8.98,9.38,10.25,11.81,13.84,16.17,18.37,20.01,21.26,21.99,22.66,22.83,22.94,22.6,21.98,21.75,78.3,,,,78.3
In-RO-021-T-SF-1#0419-A2-21T-1,42.09,19.06,16.08,24.94,40.15,13.96,16.78,10.39,8.32,7.23,7.03,7.13,7.13,7.04,7.36,7.59,7.86,8.36,8.95,9.36,9.68,9.91,10.57,12.04,14.26,17.05,20.0,22.44,24.26,25.74,26.65,27.38,27.69,27.82,27.45,26.87,26.43,77.4,,,,77.4
In-GC-021-T-SF-2#0513-A1-28T-1,54.59,-32.59,0.9,32.6,178.42,16.27,11.37,13.05,11.79,11.99,16.32,21.7,26.88,29.95,31.55,32.27,32.26,31.98,31.31,30.22,28.49,26.24,23.24,19.58,15.54,11.87,9.19,7.94,7.94,8.76,9.71,10.49,10.99,11.12,10.96,10.61,9.97,76.0,,,,76.0
In-RO-021-T-SF-1#0423-A1-19T3c-1,39.08,15.64,9.97,18.55,32.53,7.01,19.08,12.74,8.97,7.94,7.51,7.22,7.1,7.06,7.09,7.22,7.48,7.79,8.08,8.46,9.0,9.36,9.65,10.11,11.14,12.78,14.9,17.24,19.36,20.95,22.09,22.96,23.38,23.6,23.6,23.2,23.01,74.3,,,,74.3
In-RO-021-T-SF-1#0422-A1-19T8c-1,39.34,12.24,9.77,15.66,38.6,8.02,14.53,10.6,8.45,7.93,7.85,7.72,7.44,7.38,7.48,7.68,7.92,8.14,8.57,8.93,9.43,9.87,10.25,10.82,11.85,13.1,14.66,16.27,17.57,18.5,18.96,19.34,19.38,19.31,19.08,18.6,18.34,73.7,,,,73.7
In-GC-021-T-SF-2#0520-A2-28T-1,60.42,-33.46,13.91,36.24,157.42,12.47,9.28,12.1,14.04,13.48,13.44,15.81,22.19,29.52,34.0,36.28,37.2,37.28,36.87,35.91,34.85,33.5,31.7,29.14,25.76,21.67,17.31,13.24,10.09,8.53,8.2,8.86,9.84,10.66,11.29,11.5,11.56,73.2,,,,73.2
In-GC-021-T-SF-2#0517-A2-27T-1,55.5,-24.85,15.73,29.41,147.68,5.53,8.71,10.2,12.15,12.52,11.83,12.1,14.91,20.27,24.56,27.12,28.29,28.74,28.67,28.12,27.42,26.72,25.74,24.5,22.77,20.52,17.81,14.77,11.91,9.51,7.95,7.51,7.95,8.44,8.91,9.34,9.63,71.6,,,,71.6
In-GC-021-T-SF-2#0421-A2-24T-1,57.02,-17.37,22.43,28.37,127.75,13.38,9.71,9.4,9.96,12.2,13.14,12.85,12.35,14.04,18.13,22.69,25.96,27.87,28.89,29.06,28.84,28.24,27.62,26.94,26.1,24.86,23.14,21.02,18.36,15.53,12.63,10.18,8.4,7.79,7.77,8.27,8.88,70.0,,,,70.0
In-GC-021-T-SF-2#0420-A1-27T-1,56.61,-16.79,22.18,27.82,127.13,13.45,9.61,9.25,9.8,12.09,13.21,12.79,12.14,13.62,17.62,22.27,25.5,27.38,28.27,28.52,28.27,27.68,27.09,26.4,25.58,24.49,22.89,20.94,18.45,15.68,12.88,10.38,8.48,7.73,7.69,7.99,8.39,68.5,,,,68.5
In-GC-021-T-SF-2#0521-A1-25T-1,55.42,-25.49,14.85,29.5,149.77,5.31,8.52,10.57,12.01,11.5,11.08,12.36,16.4,21.81,25.36,27.54,28.63,28.93,28.59,27.85,27.14,26.46,25.69,24.56,22.72,20.25,17.25,14.15,11.16,8.91,7.84,7.87,8.33,8.87,9.19,9.52,9.73,68.0,,,,68.0
In-GC-021-T-SF-2#0519-A1-24T-1,57.16,-18.87,22.37,29.27,130.15,12.46,9.63,9.62,10.36,12.56,13.25,12.48,11.9,14.23,19.2,23.87,26.9,28.67,29.42,29.5,29.12,28.37,27.74,26.88,25.94,24.64,22.74,20.43,17.67,14.82,11.94,9.57,8.32,7.86,8.13,8.72,9.06,67.0,,,,67.0
In-GC-021-T-SF-2#0420-A2-26T-1,57.86,-21.8,18.76,28.76,139.28,9.58,9.45,10.38,12.35,14.07,13.45,12.89,14.47,19.03,24.25,27.7,29.71,30.58,30.73,30.42,29.74,28.93,28.14,27.21,25.94,24.19,21.92,19.22,16.09,13.17,10.58,8.86,8.13,8.17,8.6,9.03,9.53,66.0,,,,66.0
In-RO-021-T-SF-1#0426-A1-16T-1,37.57,15.8,4.42,16.41,15.63,3.38,26.4,20.46,13.31,8.81,8.2,7.74,6.98,6.98,7.01,7.07,7.12,7.3,7.54,7.79,8.29,8.85,9.33,9.77,10.12,10.69,11.92,13.81,16.45,19.28,21.9,24.21,25.73,26.93,27.48,27.75,27.86,64.4,,,,64.4
